TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,27.897,0.989919,473.905,245.182,0.997984,426.645,1.0,10.491,0.989919,99.594,1.0,7.107,0.0,1.384,0.891129,0.319332017867,0.865591397849,151.053091398,1.0,40.1491935484,1.0,473.209005376,1.0,367.185,0.989919,32.117,1.0,6.6,1.0,0.565284,1.0,98.0581,0.989919,106.042,1.04971,41.129,0.989919,44.4777,0.581423,-1.40021,0.965054,0.0660289,-1.49954,-1.40021,-1.36327,0.954973,0.965054,0.974462,5.73853,5.54013,5.6649,5.80847,7.0133,7.05363,7.08778,7.17174,4.99255,4.95651,5.13665,5.38316,6.88446,6.88446,7.00752,7.17059,-9999,-9999
200802,26.581,0.974856,463.055,186.626,0.99569,436.06,1.0,6.794,0.974856,99.595,1.0,25.172,0.0,1.242,0.73204,0.259113446974,0.685344827586,102.017241379,1.0,28.9863505747,1.0,460.652298851,1.0,374.806,0.974856,29.452,1.0,8.9,1.0,-4.0731,1.0,80.3768,0.974856,78.421,1.08313,28.766,0.974138,28.066,0.573785,-1.39635,0.947557,0.0872395,-1.6582,-1.42755,-1.41373,0.927443,0.951868,0.952586,5.1418,3.53417,4.96008,5.31821,6.94857,4.94791,6.62561,6.94857,6.03659,5.57957,5.77688,6.3961,7.22537,6.83343,7.04777,7.22537,-9999,-9999
200803,27.164,0.854167,432.974,255.449,0.856855,416.699,0.854167,10.532,0.854167,99.991,0.838038,8.734,0.0,1.121,0.78293,0.261890352781,0.736559139785,146.32570922,0.805779569892,37.9943971631,0.805779569892,469.004787234,0.805779569892,372.004,0.84543,31.684,0.854167,7.7,0.854167,2.81923,0.853495,95.7853,0.844086,95.2809,1.16667,52.6547,0.844758,52.3774,0.686983,-1.01823,0.78293,0.0794835,-1.23717,-1.01823,-0.898686,0.616935,0.78293,0.734543,3.75056,3.85579,4.19036,4.43933,5.30316,4.94257,5.17712,5.57771,4.91475,3.6188,4.02909,4.54519,5.81555,5.31695,5.42435,5.62008,-9999,-9999
200804,25.73,1.0,386.397,278.386,1.0,364.534,0.886111,18.483,1.0,100.184,0.999306,0.228,0.0,1.358,0.999306,0.302195183215,0.998611111111,142.863268322,0.999305555556,36.3365543735,0.999305555556,461.081349206,0.7,377.55,0.997917,30.468,1.0,4.2,1.0,0.898169,1.0,80.9074,0.997917,80.8838,0.95476,60.9185,0.997917,60.9007,0.809234,0.331245,0.874306,0.061497,0.199613,0.331245,0.549887,0.897917,0.874306,0.854167,4.73816,3.68437,3.99359,5.56024,4.37412,3.55066,3.79398,5.13361,0.922228,0.728932,0.75993,0.851255,2.81623,2.74989,2.75964,2.78492,-9999,-9999
200805,23.749,1.0,340.579,240.612,1.0,350.548,0.0,17.983,1.0,100.438,0.999328,0.0,0.0,1.654,0.998656,0.358766014642,0.998655913978,105.721116449,0.999327956989,38.4569177534,0.999327956989,-9999,-9999,368.254,1.0,29.0,1.0,3.1,1.0,1.5558,1.0,57.3921,0.999328,53.9566,0.627367,53.3856,1.0,50.1899,0.783958,-0.373893,0.991263,0.0493841,-0.421012,-0.373893,-0.16912,0.994624,0.991263,0.915995,3.43139,3.13064,3.41259,4.15561,3.91783,3.55165,3.78648,4.42562,0.517011,0.364436,0.515203,0.639414,2.47156,2.41325,2.47156,2.52402,-9999,-9999
200806,23.251,0.995139,316.581,209.986,0.247222,358.383,0.0,16.554,0.995139,100.539,0.99375,0.043,0.0,1.771,0.993056,0.392634478996,0.993055555556,-9999,-9999,-9999,-9999,-9999,-9999,337.242,0.995139,26.624,0.244444,3.0,0.244444,4.49671,0.24375,44.4012,0.995139,41.6257,0.44165,52.5753,0.995139,49.2888,0.728913,-0.757112,0.799306,0.032347,-0.798023,-0.774053,-0.742889,0.849306,0.670139,0.76875,1.95795,1.72785,1.84707,1.90104,2.66686,2.52905,2.59612,2.65803,3.81943,3.67227,4.27535,5.06095,3.24948,3.19912,3.33445,3.6143,-9999,-9999
200807,22.166,0.927419,326.483,234.082,0.921371,339.259,0.0,18.338,0.927419,100.527,0.920699,0.0,0.0,1.729,0.898522,0.359784902597,0.886424731183,86.7204702803,0.894489247312,45.248015873,0.895161290323,-9999,-9999,342.244,0.927419,27.02,0.918683,3.0,0.918683,2.26718,0.918011,40.2271,0.926747,37.6059,0.493681,53.727,0.926747,50.2261,0.76484,-0.727336,0.915323,0.02797,-0.765492,-0.727336,-0.666461,0.915323,0.915323,0.884409,1.85269,1.6594,1.73754,2.08399,2.74208,2.42324,2.46487,2.77237,0.926224,0.493433,0.668273,0.942612,2.23543,2.0239,2.11278,2.23543,-9999,-9999
200808,24.043,1.0,364.685,257.026,1.0,358.133,0.0,21.096,1.0,100.476,0.999328,0.099,0.0,2.177,0.998656,0.417290491679,0.995967741935,98.2217741935,1.0,50.8084677419,1.0,-9999,-9999,376.6,1.0,28.463,1.0,2.9,1.0,4.33938,1.0,39.4194,0.999328,33.6637,0.447759,70.4433,0.999328,60.1578,0.840417,-0.290911,0.977151,0.0250044,-0.330067,-0.290911,-0.209179,0.975806,0.977151,0.938844,1.87012,1.71275,1.79854,2.07754,2.25757,2.0218,2.08945,2.31325,1.18329,1.01279,1.17206,1.20035,1.96785,1.72645,1.90703,1.95632,-9999,-9999
200809,28.561,1.0,411.268,277.197,1.0,395.692,0.0,23.459,1.0,100.177,1.0,0.03,0.0,1.662,0.99375,0.337457333005,0.988888888889,126.631499255,0.997916666667,56.2472222222,1.0,-9999,-9999,369.162,1.0,34.406,1.0,2.8,1.0,7.50903,1.0,38.5523,0.999306,36.8661,0.814059,85.547,1.0,81.8053,1.08291,-0.782551,0.972222,0.0326841,-0.782551,-0.76804,-0.743035,0.972222,0.975,0.979167,1.37509,1.37509,1.42342,1.43963,2.14451,2.14341,2.15348,2.20774,0.716759,0.765944,0.847455,0.885527,1.92995,1.95788,1.99321,2.01684,-9999,-9999
200810,30.53,1.0,448.375,290.112,1.0,411.441,0.0,25.819,1.0,100.086,1.0,0.471,0.0,1.67,0.993952,0.349410513591,0.978494623656,143.857712766,0.998655913978,58.3380376344,1.0,-9999,-9999,366.997,0.998656,38.668,1.0,2.7,1.0,9.68884,1.0,41.2917,0.997312,42.4628,0.89463,88.7731,0.99664,91.2908,1.02713,-0.933724,0.935484,0.028594,-0.967257,-0.946413,-0.927322,0.91129,0.948253,0.951613,1.29263,1.20251,1.2501,1.2724,2.22127,2.16977,2.1931,2.21129,1.49998,1.07677,1.13473,1.64748,2.46964,2.23562,2.27853,2.54015,-9999,-9999
200811,29.427,1.0,467.843,251.458,1.0,433.674,0.728472,16.858,1.0,99.793,0.997917,7.703,0.0,1.447,0.95625,0.309284017239,0.945833333333,143.507028974,0.994444444444,45.2973108747,0.999305555556,493.959635417,0.533333333333,387.897,0.993056,35.593,1.0,5.2,0.990278,0.253139,1.0,52.8605,0.988194,60.5307,0.886182,71.2782,0.988194,81.6209,0.931999,0.619112,0.953472,0.0499026,0.38248,0.619112,0.667539,0.94375,0.953472,0.970139,2.89798,2.39251,2.89798,3.04164,2.16914,2.03733,2.27508,2.3689,3.07863,2.78548,2.8766,3.01448,2.76289,2.68607,2.74985,2.76289,-9999,-9999
200812,27.774,1.0,474.08,216.698,1.0,428.769,1.0,10.672,1.0,99.688,0.999328,9.115,0.000672043,1.258,0.86828,0.268011534368,0.849462365591,134.212708762,0.999327956989,33.6843828643,0.999327956989,472.974934226,0.999327956989,393.844,0.992608,31.271,1.0,8.7,0.995296,-2.91669,1.0,80.4368,0.985887,91.0008,1.08471,40.6906,0.987231,46.0346,0.642613,-1.21493,0.935484,0.0955051,-1.33562,-1.12265,-0.87327,0.911962,0.93414,0.943548,3.55308,3.42233,3.60124,4.05754,4.69997,4.69439,4.75232,4.94041,4.10401,4.10401,4.38184,4.57717,5.0015,5.06301,5.12368,5.22812,-9999,-9999
200901,26.63,1.0,473.905,210.24,1.0,429.091,1.0,7.561,1.0,99.624,1.0,11.351,0.0,1.429,0.90121,0.306307890956,0.866935483871,134.788978495,1.0,33.0987903226,1.0,465.181451613,1.0,388.718,1.0,29.911,1.0,10.0,1.0,-1.98886,1.0,90.5386,1.0,102.205,1.18011,30.5862,1.0,34.5275,0.519011,-1.58652,0.979839,0.0818298,-1.79337,-1.59745,-1.44798,0.97043,0.97379,0.977151,4.92888,4.62618,5.03479,5.11361,6.69803,6.42901,6.56158,6.61042,5.82307,5.00239,5.26925,5.82307,6.96219,6.59219,6.70551,7.07338,-9999,-9999
200902,26.458,1.0,463.434,196.228,1.0,431.898,1.0,6.881,1.0,99.573,1.0,15.154,0.0,1.384,0.960565,0.303172360452,0.938988095238,123.179315476,1.0,30.3043154762,1.0,462.803571429,1.0,386.065,0.999256,29.646,1.0,10.3,1.0,-0.827381,1.0,85.2678,0.999256,93.1653,1.13605,28.3496,0.999256,30.9753,0.550018,-1.21423,0.953869,0.0761038,-2.53057,-1.21423,-1.10617,0.982143,0.953869,0.886905,5.87045,4.55554,5.39007,5.97001,6.95877,6.79033,6.95877,7.09755,6.24408,5.13884,5.68069,6.24408,7.48199,7.05521,7.25117,7.56134,-9999,-9999
